Dataset	Method	Head_Pearson	Tail_Pearson	Head_KL	Tail_KL	Head_JS	Tail_JS	Head_MSE	Tail_MSE	Tail_Mass_Ratio
FORECasT WT	X-CRISP	0.7294399211224211	0.3751833645210034	0.6402162423000338	2.3095061875015483	0.28700933533641265	0.6457987282642297	0.009668819036817038	1.601771120687542e-05	3.580464250428543
FORECasT WT	inDelphi	0.4964450141802784	0.21312799920324318	1.1126987264037644	2.3349254968316884	0.36097476729117683	0.6322776415252921	0.017192991775067636	0.0004879445617791872	4.114509285932814
FORECasT WT	Lindel	0.5961019835162291	0.3337456067968562	0.7903348772179549	2.599426079681755	0.33015509617864003	0.6685495703811876	0.019103726415645637	2.081939262422742e-05	4.397673965003878
FORECasT WT	FORECasT	0.7338329843638493	0.3801033047807412	0.4270914392792527	2.3070067574550674	0.26143328636845997	0.6780329899522891	0.012451647386443757	1.397990841542332e-05	4.583275405040133
FORECasT WT	DU-AxisCRISP	0.7601717599395225	0.3980946282832016	0.48017440665171157	2.198924762347219	0.25999469121906743	0.6297752785253479	0.008746899641419599	1.4567281417036685e-05	3.14608036116923
inDelphi WT	X-CRISP	0.7799995523089678	0.3639068845896735	0.6380617146294724	1.8634265039716944	0.3040145352172896	0.6090127157697469	0.0026294516247071177	8.030302513786085e-06	2.7990349888614747
inDelphi WT	inDelphi	0.5285880305684963	0.143563533192458	0.7368646951269406	2.039283301215496	0.3517066419539154	0.6201143526464892	0.004487833965238578	0.0004358508871434859	3.6786648372022546
inDelphi WT	Lindel	0.7021133563616495	0.3146562304688469	0.731593830382286	2.0680519524082377	0.3336586655512245	0.6350247287848816	0.003290107547582663	1.0338178475240012e-05	3.330443619210795
inDelphi WT	FORECasT	0.7886934394442324	0.37177052488775103	0.38590086834537307	1.903170533323229	0.26683417014638416	0.6480660493167337	0.002719594039102355	6.357213113032202e-06	3.932420058006275
inDelphi WT	DU-AxisCRISP	0.8101528560549343	0.37047624995734413	0.48870325347662613	1.8684744774601585	0.2804949639432774	0.5965824126308017	0.0024509080555306737	7.862393683493208e-06	2.3218981348549774
